x,y
3.52,0.951608
3.53,0.950083
3.54,0.948541
3.55,0.946983
3.56,0.945409
3.57,0.943821
3.58,0.942217
3.59,0.940599
3.6,0.938967
3.61,0.937321
3.62,0.935662
3.63,0.933989
3.64,0.932304
3.65,0.930606
3.66,0.928896
3.67,0.927174
3.68,0.925441
3.69,0.923697
3.7,0.921942
3.71,0.920177
3.72,0.918402
3.73,0.916617
3.74,0.914822
3.75,0.913019
3.76,0.911207
3.77,0.909387
3.78,0.907559
3.79,0.905724
3.8,0.903881
3.81,0.902031
3.82,0.900174
3.83,0.898312
3.84,0.896443
3.85,0.894569
3.86,0.89269
3.87,0.890806
3.88,0.888917
3.89,0.887025
3.9,0.885128
3.91,0.883228
3.92,0.881325
3.93,0.879419
3.94,0.877511
3.95,0.875601
3.96,0.873689
3.97,0.871775
3.98,0.869861
3.99,0.867946
4,0.86603
4,0.86603
